url,title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
https://www.netflix.com/title/70019062,Nausicaä of the Valley of the Wind,movie,"Adventure, Animation, Sci-Fi",1984.0,tt0087544,8.0,186572.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
https://www.netflix.com/title/70044892,Miami Vice,movie,"Action, Crime, Drama",2006.0,tt0430357,6.1,125748.0,"AT, CH, DE, LI, LU"
https://www.netflix.com/title/60011649,Raiders of the Lost Ark,movie,"Action, Adventure",1981.0,tt0082971,8.4,1052481.0,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
https://www.netflix.com/title/60010488,Indiana Jones and the Temple of Doom,movie,"Action, Adventure",1984.0,tt0087469,7.5,542880.0,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
https://www.netflix.com/title/445386,Dirty Dancing,movie,"Drama, Music, Romance",1987.0,tt0092890,7.1,262916.0,CA
https://www.netflix.com/title/60010487,Indiana Jones and the Last Crusade,movie,"Action, Adventure",1989.0,tt0097576,8.2,823092.0,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
https://www.netflix.com/title/60010139,Beverly Hills Cop,movie,"Action, Comedy, Crime",1984.0,tt0086960,7.4,219623.0,"IT, KR, NZ"
https://www.netflix.com/title/60010140,Beverly Hills Cop II,movie,"Action, Comedy, Crime",1987.0,tt0092644,6.6,140943.0,"IT, KR, NZ"
https://www.netflix.com/title/60000929,Gladiator,movie,"Action, Adventure, Drama",2000.0,tt0172495,8.5,1667331.0,"CA, KR"
https://www.netflix.com/title/26268034,All About My Mother,movie,"Comedy, Drama, Romance",1999.0,tt0185125,7.8,104650.0,ES
https://www.netflix.com/title/16944044,"Lock, Stock and Two Smoking Barrels",movie,"Action, Comedy, Crime",1998.0,tt0120735,8.1,624967.0,BE
https://www.netflix.com/title/7880857,Léon: The Professional,movie,"Action, Crime, Drama",1994.0,tt0110413,8.5,1271338.0,"CA, JP"
https://www.netflix.com/title/60026129,Open Hearts,movie,"Drama, Romance",2002.0,tt0315543,7.5,11094.0,"DK, FI, NO, SE"
https://www.netflix.com/title/18907685,Taxi Driver,movie,"Crime, Drama",1976.0,tt0075314,8.2,947458.0,"AE, AT, BH, CA, CH, DE, DZ, EE, EG, IL, IQ, IT, JO, KW, LB, LI, LT, LU, LV, LY, MA, MC, MT, NZ, OM, PS, QA, SA, SM, TN, TR, YE"
https://www.netflix.com/title/22498178,Run Lola Run,movie,"Action, Crime, Thriller",1998.0,tt0130827,7.6,210288.0,"AT, CH, DE, LI"
https://www.netflix.com/title/60003388,Snatch,movie,"Comedy, Crime",2000.0,tt0208092,8.2,926134.0,"AT, AZ, BE, BY, CH, CY, DE, EE, FJ, GB, GG, GI, GR, HK, ID, IE, IL, IN, LI, LT, LU, LV, MD, MT, MY, NZ, PH, PK, PT, SG, TH, TR, TW, UA"
https://www.netflix.com/title/60029681,Scarface,movie,"Crime, Drama",1983.0,tt0086250,8.3,937929.0,US
https://www.netflix.com/title/60022677,Italian for Beginners,movie,"Comedy, Drama, Romance",2000.0,tt0243862,7.0,14037.0,"DK, FI, NO, SE"
https://www.netflix.com/title/1181532,The Big Lebowski,movie,"Comedy, Crime",1998.0,tt0118715,8.1,874136.0,CA
https://www.netflix.com/title/70021648,Charlie and the Chocolate Factory,movie,"Adventure, Comedy, Family",2005.0,tt0367594,6.7,539834.0,"AD, AT, BA, BE, BG, CH, CZ, DE, DK, ES, FI, FJ, FR, GF, HK, HR, HU, ID, IN, JP, KR, LI, LU, MC, MD, ME, MK, MY, NO, PF, PH, PK, PL, PT, RO, RS, SE, SG, SI, SK, TH, TW"
https://www.netflix.com/title/60004480,The Lord of the Rings: The Fellowship of the Ring,movie,"Action, Adventure, Drama",2001.0,tt0120737,8.9,2053650.0,"CH, IN, IT, KR, SM"
https://www.netflix.com/title/60004483,The Lord of the Rings: The Two Towers,movie,"Action, Adventure, Drama",2002.0,tt0167261,8.8,1824648.0,"CH, IN, IT, KR, SM"
,The Lord of the Rings: The Return of the King,movie,"Action, Adventure, Drama",2003.0,tt0167260,9.0,2023829.0,"CH, IN, IT, KR, SM"
